dataset,instancia,n,W,archivo
podas-BT,RiesgoAlto-IgualBeneficios-101,101,50,instancias/podas-BT/RiesgoAlto-IgualBeneficios-101.txt
podas-BT,RiesgoAlto-IgualBeneficios-102,102,51,instancias/podas-BT/RiesgoAlto-IgualBeneficios-102.txt
podas-BT,RiesgoAlto-IgualBeneficios-103,103,51,instancias/podas-BT/RiesgoAlto-IgualBeneficios-103.txt
podas-BT,RiesgoAlto-IgualBeneficios-104,104,52,instancias/podas-BT/RiesgoAlto-IgualBeneficios-104.txt
podas-BT,RiesgoAlto-IgualBeneficios-105,105,52,instancias/podas-BT/RiesgoAlto-IgualBeneficios-105.txt
podas-BT,RiesgoAlto-IgualBeneficios-106,106,53,instancias/podas-BT/RiesgoAlto-IgualBeneficios-106.txt
podas-BT,RiesgoAlto-IgualBeneficios-107,107,53,instancias/podas-BT/RiesgoAlto-IgualBeneficios-107.txt
podas-BT,RiesgoAlto-IgualBeneficios-108,108,54,instancias/podas-BT/RiesgoAlto-IgualBeneficios-108.txt
podas-BT,RiesgoAlto-IgualBeneficios-109,109,54,instancias/podas-BT/RiesgoAlto-IgualBeneficios-109.txt
podas-BT,RiesgoAlto-IgualBeneficios-110,110,55,instancias/podas-BT/RiesgoAlto-IgualBeneficios-110.txt
podas-BT,RiesgoAlto-IgualBeneficios-111,111,55,instancias/podas-BT/RiesgoAlto-IgualBeneficios-111.txt
podas-BT,RiesgoAlto-IgualBeneficios-112,112,56,instancias/podas-BT/RiesgoAlto-IgualBeneficios-112.txt
podas-BT,RiesgoAlto-IgualBeneficios-113,113,56,instancias/podas-BT/RiesgoAlto-IgualBeneficios-113.txt
podas-BT,RiesgoAlto-IgualBeneficios-114,114,57,instancias/podas-BT/RiesgoAlto-IgualBeneficios-114.txt
podas-BT,RiesgoAlto-IgualBeneficios-115,115,57,instancias/podas-BT/RiesgoAlto-IgualBeneficios-115.txt
podas-BT,RiesgoAlto-IgualBeneficios-116,116,58,instancias/podas-BT/RiesgoAlto-IgualBeneficios-116.txt
podas-BT,RiesgoAlto-IgualBeneficios-117,117,58,instancias/podas-BT/RiesgoAlto-IgualBeneficios-117.txt
podas-BT,RiesgoAlto-IgualBeneficios-118,118,59,instancias/podas-BT/RiesgoAlto-IgualBeneficios-118.txt
podas-BT,RiesgoAlto-IgualBeneficios-119,119,59,instancias/podas-BT/RiesgoAlto-IgualBeneficios-119.txt
podas-BT,RiesgoAlto-IgualBeneficios-120,120,60,instancias/podas-BT/RiesgoAlto-IgualBeneficios-120.txt
podas-BT,RiesgoAlto-IgualBeneficios-121,121,60,instancias/podas-BT/RiesgoAlto-IgualBeneficios-121.txt
podas-BT,RiesgoAlto-IgualBeneficios-122,122,61,instancias/podas-BT/RiesgoAlto-IgualBeneficios-122.txt
podas-BT,RiesgoAlto-IgualBeneficios-123,123,61,instancias/podas-BT/RiesgoAlto-IgualBeneficios-123.txt
podas-BT,RiesgoAlto-IgualBeneficios-124,124,62,instancias/podas-BT/RiesgoAlto-IgualBeneficios-124.txt
podas-BT,RiesgoAlto-IgualBeneficios-125,125,62,instancias/podas-BT/RiesgoAlto-IgualBeneficios-125.txt
podas-BT,RiesgoAlto-IgualBeneficios-126,126,63,instancias/podas-BT/RiesgoAlto-IgualBeneficios-126.txt
podas-BT,RiesgoAlto-IgualBeneficios-127,127,63,instancias/podas-BT/RiesgoAlto-IgualBeneficios-127.txt
podas-BT,RiesgoAlto-IgualBeneficios-128,128,64,instancias/podas-BT/RiesgoAlto-IgualBeneficios-128.txt
podas-BT,RiesgoAlto-IgualBeneficios-129,129,64,instancias/podas-BT/RiesgoAlto-IgualBeneficios-129.txt
podas-BT,RiesgoAlto-IgualBeneficios-130,130,65,instancias/podas-BT/RiesgoAlto-IgualBeneficios-130.txt
podas-BT,RiesgoAlto-IgualBeneficios-131,131,65,instancias/podas-BT/RiesgoAlto-IgualBeneficios-131.txt
podas-BT,RiesgoAlto-IgualBeneficios-132,132,66,instancias/podas-BT/RiesgoAlto-IgualBeneficios-132.txt
podas-BT,RiesgoAlto-IgualBeneficios-133,133,66,instancias/podas-BT/RiesgoAlto-IgualBeneficios-133.txt
podas-BT,RiesgoAlto-IgualBeneficios-134,134,67,instancias/podas-BT/RiesgoAlto-IgualBeneficios-134.txt
podas-BT,RiesgoAlto-IgualBeneficios-135,135,67,instancias/podas-BT/RiesgoAlto-IgualBeneficios-135.txt
podas-BT,RiesgoAlto-IgualBeneficios-136,136,68,instancias/podas-BT/RiesgoAlto-IgualBeneficios-136.txt
podas-BT,RiesgoAlto-IgualBeneficios-137,137,68,instancias/podas-BT/RiesgoAlto-IgualBeneficios-137.txt
podas-BT,RiesgoAlto-IgualBeneficios-138,138,69,instancias/podas-BT/RiesgoAlto-IgualBeneficios-138.txt
podas-BT,RiesgoAlto-IgualBeneficios-139,139,69,instancias/podas-BT/RiesgoAlto-IgualBeneficios-139.txt
podas-BT,RiesgoAlto-IgualBeneficios-140,140,70,instancias/podas-BT/RiesgoAlto-IgualBeneficios-140.txt
podas-BT,RiesgoAlto-IgualBeneficios-141,141,70,instancias/podas-BT/RiesgoAlto-IgualBeneficios-141.txt
podas-BT,RiesgoAlto-IgualBeneficios-142,142,71,instancias/podas-BT/RiesgoAlto-IgualBeneficios-142.txt
podas-BT,RiesgoAlto-IgualBeneficios-143,143,71,instancias/podas-BT/RiesgoAlto-IgualBeneficios-143.txt
podas-BT,RiesgoAlto-IgualBeneficios-144,144,72,instancias/podas-BT/RiesgoAlto-IgualBeneficios-144.txt
podas-BT,RiesgoAlto-IgualBeneficios-145,145,72,instancias/podas-BT/RiesgoAlto-IgualBeneficios-145.txt
podas-BT,RiesgoAlto-IgualBeneficios-146,146,73,instancias/podas-BT/RiesgoAlto-IgualBeneficios-146.txt
podas-BT,RiesgoAlto-IgualBeneficios-147,147,73,instancias/podas-BT/RiesgoAlto-IgualBeneficios-147.txt
podas-BT,RiesgoAlto-IgualBeneficios-148,148,74,instancias/podas-BT/RiesgoAlto-IgualBeneficios-148.txt
podas-BT,RiesgoAlto-IgualBeneficios-149,149,74,instancias/podas-BT/RiesgoAlto-IgualBeneficios-149.txt
podas-BT,RiesgoAlto-IgualBeneficios-150,150,75,instancias/podas-BT/RiesgoAlto-IgualBeneficios-150.txt
podas-BT,RiesgoAlto-IgualBeneficios-151,151,75,instancias/podas-BT/RiesgoAlto-IgualBeneficios-151.txt
podas-BT,RiesgoAlto-IgualBeneficios-152,152,76,instancias/podas-BT/RiesgoAlto-IgualBeneficios-152.txt
podas-BT,RiesgoAlto-IgualBeneficios-153,153,76,instancias/podas-BT/RiesgoAlto-IgualBeneficios-153.txt
podas-BT,RiesgoAlto-IgualBeneficios-154,154,77,instancias/podas-BT/RiesgoAlto-IgualBeneficios-154.txt
podas-BT,RiesgoAlto-IgualBeneficios-155,155,77,instancias/podas-BT/RiesgoAlto-IgualBeneficios-155.txt
podas-BT,RiesgoAlto-IgualBeneficios-156,156,78,instancias/podas-BT/RiesgoAlto-IgualBeneficios-156.txt
podas-BT,RiesgoAlto-IgualBeneficios-157,157,78,instancias/podas-BT/RiesgoAlto-IgualBeneficios-157.txt
podas-BT,RiesgoAlto-IgualBeneficios-158,158,79,instancias/podas-BT/RiesgoAlto-IgualBeneficios-158.txt
podas-BT,RiesgoAlto-IgualBeneficios-159,159,79,instancias/podas-BT/RiesgoAlto-IgualBeneficios-159.txt
podas-BT,RiesgoAlto-IgualBeneficios-160,160,80,instancias/podas-BT/RiesgoAlto-IgualBeneficios-160.txt
podas-BT,RiesgoAlto-IgualBeneficios-161,161,80,instancias/podas-BT/RiesgoAlto-IgualBeneficios-161.txt
podas-BT,RiesgoAlto-IgualBeneficios-162,162,81,instancias/podas-BT/RiesgoAlto-IgualBeneficios-162.txt
podas-BT,RiesgoAlto-IgualBeneficios-163,163,81,instancias/podas-BT/RiesgoAlto-IgualBeneficios-163.txt
podas-BT,RiesgoAlto-IgualBeneficios-164,164,82,instancias/podas-BT/RiesgoAlto-IgualBeneficios-164.txt
podas-BT,RiesgoAlto-IgualBeneficios-165,165,82,instancias/podas-BT/RiesgoAlto-IgualBeneficios-165.txt
podas-BT,RiesgoAlto-IgualBeneficios-166,166,83,instancias/podas-BT/RiesgoAlto-IgualBeneficios-166.txt
podas-BT,RiesgoAlto-IgualBeneficios-167,167,83,instancias/podas-BT/RiesgoAlto-IgualBeneficios-167.txt
podas-BT,RiesgoAlto-IgualBeneficios-168,168,84,instancias/podas-BT/RiesgoAlto-IgualBeneficios-168.txt
podas-BT,RiesgoAlto-IgualBeneficios-169,169,84,instancias/podas-BT/RiesgoAlto-IgualBeneficios-169.txt
podas-BT,RiesgoAlto-IgualBeneficios-170,170,85,instancias/podas-BT/RiesgoAlto-IgualBeneficios-170.txt
podas-BT,RiesgoAlto-IgualBeneficios-171,171,85,instancias/podas-BT/RiesgoAlto-IgualBeneficios-171.txt
podas-BT,RiesgoAlto-IgualBeneficios-172,172,86,instancias/podas-BT/RiesgoAlto-IgualBeneficios-172.txt
podas-BT,RiesgoAlto-IgualBeneficios-173,173,86,instancias/podas-BT/RiesgoAlto-IgualBeneficios-173.txt
podas-BT,RiesgoAlto-IgualBeneficios-174,174,87,instancias/podas-BT/RiesgoAlto-IgualBeneficios-174.txt
podas-BT,RiesgoAlto-IgualBeneficios-175,175,87,instancias/podas-BT/RiesgoAlto-IgualBeneficios-175.txt
podas-BT,RiesgoAlto-IgualBeneficios-176,176,88,instancias/podas-BT/RiesgoAlto-IgualBeneficios-176.txt
podas-BT,RiesgoAlto-IgualBeneficios-177,177,88,instancias/podas-BT/RiesgoAlto-IgualBeneficios-177.txt
podas-BT,RiesgoAlto-IgualBeneficios-178,178,89,instancias/podas-BT/RiesgoAlto-IgualBeneficios-178.txt
podas-BT,RiesgoAlto-IgualBeneficios-179,179,89,instancias/podas-BT/RiesgoAlto-IgualBeneficios-179.txt
podas-BT,RiesgoAlto-IgualBeneficios-180,180,90,instancias/podas-BT/RiesgoAlto-IgualBeneficios-180.txt
podas-BT,RiesgoAlto-IgualBeneficios-181,181,90,instancias/podas-BT/RiesgoAlto-IgualBeneficios-181.txt
podas-BT,RiesgoAlto-IgualBeneficios-182,182,91,instancias/podas-BT/RiesgoAlto-IgualBeneficios-182.txt
podas-BT,RiesgoAlto-IgualBeneficios-183,183,91,instancias/podas-BT/RiesgoAlto-IgualBeneficios-183.txt
podas-BT,RiesgoAlto-IgualBeneficios-184,184,92,instancias/podas-BT/RiesgoAlto-IgualBeneficios-184.txt
podas-BT,RiesgoAlto-IgualBeneficios-185,185,92,instancias/podas-BT/RiesgoAlto-IgualBeneficios-185.txt
podas-BT,RiesgoAlto-IgualBeneficios-186,186,93,instancias/podas-BT/RiesgoAlto-IgualBeneficios-186.txt
podas-BT,RiesgoAlto-IgualBeneficios-187,187,93,instancias/podas-BT/RiesgoAlto-IgualBeneficios-187.txt
podas-BT,RiesgoAlto-IgualBeneficios-188,188,94,instancias/podas-BT/RiesgoAlto-IgualBeneficios-188.txt
podas-BT,RiesgoAlto-IgualBeneficios-189,189,94,instancias/podas-BT/RiesgoAlto-IgualBeneficios-189.txt
podas-BT,RiesgoAlto-IgualBeneficios-190,190,95,instancias/podas-BT/RiesgoAlto-IgualBeneficios-190.txt
podas-BT,RiesgoAlto-IgualBeneficios-191,191,95,instancias/podas-BT/RiesgoAlto-IgualBeneficios-191.txt
podas-BT,RiesgoAlto-IgualBeneficios-192,192,96,instancias/podas-BT/RiesgoAlto-IgualBeneficios-192.txt
podas-BT,RiesgoAlto-IgualBeneficios-193,193,96,instancias/podas-BT/RiesgoAlto-IgualBeneficios-193.txt
podas-BT,RiesgoAlto-IgualBeneficios-194,194,97,instancias/podas-BT/RiesgoAlto-IgualBeneficios-194.txt
podas-BT,RiesgoAlto-IgualBeneficios-195,195,97,instancias/podas-BT/RiesgoAlto-IgualBeneficios-195.txt
podas-BT,RiesgoAlto-IgualBeneficios-196,196,98,instancias/podas-BT/RiesgoAlto-IgualBeneficios-196.txt
podas-BT,RiesgoAlto-IgualBeneficios-197,197,98,instancias/podas-BT/RiesgoAlto-IgualBeneficios-197.txt
podas-BT,RiesgoAlto-IgualBeneficios-198,198,99,instancias/podas-BT/RiesgoAlto-IgualBeneficios-198.txt
podas-BT,RiesgoAlto-IgualBeneficios-199,199,99,instancias/podas-BT/RiesgoAlto-IgualBeneficios-199.txt
podas-BT,RiesgoAlto-IgualBeneficios-200,200,100,instancias/podas-BT/RiesgoAlto-IgualBeneficios-200.txt
